id,name,isdone,spotifyid
600808,Drake,False,3TVXtAsR1Inumwj472S9r4
706819,Ed Sheeran,False,6eUKZXaKkcviH0Ku9w2n3V
823336,Ariana Grande,False,66CXWjxzNUsdJxJ2JdwvnR
1492430,Bad Bunny,False,4q3ewBCX7sLwd24euuV69X
796889,The Weeknd,False,1Xyo4u8uXC1ZmMpatF05PJ
1258907,Post Malone,False,246dkjvS1zLTtiykXe5h60
634509,Justin Bieber,False,1uNFoZAHBGtllmzznpCI3s
946,Eminem,False,7dGJo4pcD2V6oG8kP0tJRR
399541,Taylor Swift,False,06HL4z0CvFAxyc27GXpf02
803820,J Balvin,False,1vyhD5VmyZ7KMfW5gqLgo5
1025840,BTS,False,3Nrfpe0tUJi4K4DXYWgMUX
127482,Kanye West,False,5K4W6rqBFWDnAN6FQUkS6x
1361541,Billie Eilish,False,6qqNVTkY8uBg9cP3Jd7DAH
1048120,Ozuna,False,1i8SpTcr7yvPOmcqrbnVXY
1445809,Khalid,False,6LuN9FCkKOj5PcnpouEgny
1379442,XXXTENTACION,False,15UsOTVnJzReFVN1VCnxy4
1633635,Juice WRLD,False,4MCBfE4596Uoi2O4DtmEMz
2129,Coldplay,False,4gzpq5DPGxSnKTe4SA8HAU
262731,Rihanna,False,5pKCCKE2ajJHZ9KAiaK11H
894303,Travis Scott,False,0Y5tJX1MQlPlqiwlOH1tJY
870909,Imagine Dragons,False,53XhwfbYqKCa1cC15pYq2q
66179,Maroon 5,False,04gDigrS5kc9YWfZHwBETP
1290968,Dua Lipa,False,6M2wZ9GZgrQXHCFfjv46we
1137257,Shawn Mendes,False,7n2wHs1TKAczGzO7Dd2rGr
204321,Calvin Harris,False,7CajNmpbOovFoOoasH2HaY
30471,David Guetta,False,1Cs0zKBU1kc0i8ypK3B9ai
119241,Daddy Yankee,False,4VMYDCV2IEDYJArk749S6m
529750,Sam Smith,False,2wY79sveU1sp5g7SokKOiI
641206,Bruno Mars,False,0du5cEVh5yTK9QJze8zA0C
1096838,The Chainsmokers,False,69GGBxA162lTqCwzJG5jLp
192,Queen,False,1dfeR4HaWDbWqFHLkxsg1d
762201,Kendrick Lamar,False,2YZyLoL8N0Wb9xBt1NhZWg
422058,Beyoncé,False,6vWDO969PvNqNYHIOW5v0m
240486,Chris Brown,False,7bXgB6jMjp9ATFy66eO08Z
800841,Future,False,1RyvyyTE3xzB2ZywiAwp0i
754656,One Direction,False,4AK6F7OLvEQ5QYCBNiQWHq
100154,Sia,False,5WUlDfRSoLAfcVSX1WnrxN
624088,Nicki Minaj,False,0hCNtLu0JehylgoiP8L4Gh
531923,Lady Gaga,False,1HY2Jd0NmPuamShAr6KMms
1197096,Halsey,False,26VFTg2z8YR0cCuwLzESi2
527517,Selena Gomez,False,0C8ZW7ezQVs4URX5aX7Kqx
650607,J. Cole,False,6l3HvQ5sa6mXTsMTB19rO5
1486832,Anuel AA,False,2R21vXR83lH98kGeO99Y66
303,The Beatles,False,3WrFJ7ztbogyGnTHbHJFl2
839065,twenty one pilots,False,3YQKmKGau1PzlVlkL1iodx
1053251,Maluma,False,1r4hJ1h58CWwUQe3MxPuau
1084840,Kygo,False,23fqKkggKUBHNkbKtXEls4
807928,Marshmello,False,64KEffDW9EtZ1y2vBYgq8T
610590,Avicii,False,1vCWHaC5f2uS3yhpwWbIA6
11330,Linkin Park,False,6XyY86QOPPrYVGvF9ch6wz
1241266,Lil Uzi Vert,False,4O15NlyKLIASxsJ0PrXPfz
315753,Katy Perry,False,6jJ0s89eD6GaHleKKya26X
939035,Camila Cabello,False,4nDoRrQiYLoBzwC5BhVJzF
497084,Adele,False,4dpARuHxo51G3z768sgnrY
828613,Lana Del Rey,False,00FQb4jTyendYWaN8pK0wa
641496,Jason Derulo,False,07YZf4WDAMNwqr4jfgOZ8y
813933,Farruko,False,329e4yvIujISKGKz1BZZbO
527516,Demi Lovato,False,6S2OmqARrzebs0tKUEyXyp
12389,Red Hot Chili Peppers,False,0L8ExT028jH3ddEcZwqJJ5
148108,Nicky Jam,False,1SupJlEpv7RS2tPNRaHViT
1332,Shakira,False,0EmeFodog0BfCgMzAIvKQp
255826,Arctic Monkeys,False,7Ln80lUS6He07XvHI8qqHH
997729,Martin Garrix,False,60d24wfXkVzDSfLS6hyCjZ
867864,G‐Eazy,False,02kJSzxNuaWGqwubyUba0Z
